Year,Month,Value
1948,Jan,-0.021
1949,Jan,0.147
1950,Jan,0.105
1951,Jan,0.096
1952,Jan,0.165
1953,Jan,0.258
1954,Jan,0.22
1955,Jan,0.068
1956,Jan,0.179
1957,Jan,-0.089
1958,Jan,0.04
1959,Jan,0.091
1960,Jan,0.167
1961,Jan,0.051
1962,Jan,0.139
1963,Jan,0.147
1964,Jan,-0.086
1965,Jan,-0.21
1966,Jan,-0.087
1967,Jan,0.07
1968,Jan,-0.259
1969,Jan,-0.075
1970,Jan,-0.023
1971,Jan,-0.259
1972,Jan,-0.331
1973,Jan,-0.387
1974,Jan,-0.289
1975,Jan,-0.286
1976,Jan,-0.398
1977,Jan,-0.402
1978,Jan,-0.119
1979,Jan,-0.205
1980,Jan,-0.014
1981,Jan,-0.189
1982,Jan,-0.089
1983,Jan,-0.306
1984,Jan,-0.114
1985,Jan,-0.363
1986,Jan,-0.352
1987,Jan,-0.287
1988,Jan,-0.051
1989,Jan,-0.234
1990,Jan,-0.312
1991,Jan,-0.209
1992,Jan,-0.205
1993,Jan,-0.256
1994,Jan,-0.313
1995,Jan,-0.08
1996,Jan,-0.028
1997,Jan,-0.109
1998,Jan,0.112
1999,Jan,0.032
2000,Jan,-0.102
2001,Jan,-0.146
2002,Jan,0.162
2003,Jan,0.031
2004,Jan,0.191
2005,Jan,0.091
2006,Jan,0.104
2007,Jan,0.151
2008,Jan,0.01
2009,Jan,-0.079
2010,Jan,0.019
2011,Jan,0.123
2012,Jan,-0.086
2013,Jan,0.107
2014,Jan,-0.083
2015,Jan,-0.03
2016,Jan,0.209
2017,Jan,0.203
2018,Jan,0.15
2019,Jan,-0.037
2020,Jan,0.073
2021,Jan,0.126
2022,Jan,0.176
2023,Jan,0.192
1948,Feb,-0.034
1949,Feb,0.154
1950,Feb,-0.04
1951,Feb,-0.008
1952,Feb,0.176
1953,Feb,0.178
1954,Feb,0.088
1955,Feb,0.033
1956,Feb,0.087
1957,Feb,-0.114
1958,Feb,0.18
1959,Feb,0.106
1960,Feb,0.207
1961,Feb,0.071
1962,Feb,0.142
1963,Feb,0.155
1964,Feb,0.01
1965,Feb,-0.188
1966,Feb,-0.001
1967,Feb,0.076
1968,Feb,-0.21
1969,Feb,0.092
1970,Feb,-0.061
1971,Feb,-0.305
1972,Feb,-0.393
1973,Feb,-0.406
1974,Feb,-0.296
1975,Feb,-0.351
1976,Feb,-0.454
1977,Feb,-0.346
1978,Feb,-0.16
1979,Feb,-0.164
1980,Feb,-0.091
1981,Feb,-0.188
1982,Feb,-0.086
1983,Feb,-0.112
1984,Feb,-0.096
1985,Feb,-0.338
1986,Feb,-0.284
1987,Feb,-0.227
1988,Feb,-0.126
1989,Feb,-0.169
1990,Feb,-0.175
1991,Feb,-0.131
1992,Feb,-0.109
1993,Feb,-0.202
1994,Feb,-0.326
1995,Feb,-0.057
1996,Feb,-0.05
1997,Feb,-0.054
1998,Feb,0.273
1999,Feb,0.039
2000,Feb,-0.057
2001,Feb,-0.046
2002,Feb,0.146
2003,Feb,-0.032
2004,Feb,0.19
2005,Feb,0.106
2006,Feb,0.055
2007,Feb,0.197
2008,Feb,0.108
2009,Feb,-0.185
2010,Feb,0.157
2011,Feb,0.087
2012,Feb,-0.017
2013,Feb,0.094
2014,Feb,-0.064
2015,Feb,-0.026
2016,Feb,0.133
