x,y,label,angle
-71.5,42.275,Bay,0
-71.5,42.425,Mass.,0
-71.2,42.35,---,0
-71.9,41.625,Bay,0
-71.9,41.775,Narra.,0
-71.6,41.7,---,0
-69.3,41.8,CC Bay,0
-69.9,41.8,-----,0
-72,41.275,Block Is.,10
-72,41.125,Sound,10
-66.2,41.725,Peak,30
-66.2,41.875,Northeast,30
-67.8,41.425,Shoal,0
-67.8,41.575,Georges,0
-70.2,42.125,Bank,-30
-70.2,42.275,Stellwagen,-30
-70.1,42.925,Ledge,50
-70.1,43.075,Jeffreys,50
-69,42.825,Ledge,10
-69,42.975,Cashes,10
-69.9,40.925,Shoals,0
-69.9,41.075,Nantucket,0
-69.5,42.425,Basin,0
-69.5,42.575,Wilkinson,0
-67.6,43.525,Basin,0
-67.6,43.675,Jordan,0
-67.02,44.7,G. Manan Ch.,55
