Year,Season,Class,neighborhood,y,name
1982,Fall,Cold,1,0.135093103,Southern New England
1982,Fall,Cold,2,0.639557955,Georges Shoals
1982,Spring,Cold,1,2.596885649,Southern New England
1982,Fall,Hot,1,6.209232194,Stellwagen and Cashes
1982,Fall,Hot,2,8.354723761,Northeast Peak
1982,Spring,Hot,1,33.14105616,Georges Shoals
1982,Spring,Hot,2,62.28211527,Northeast Peak
1982,Spring,Hot,3,40.62736087,Stellwagen and Cashes
1983,Fall,Cold,1,0.151426742,Southern New England
1983,Fall,Cold,2,0.439078882,Central Georges
1983,Spring,Cold,1,1.565136441,Southern New England
1983,Fall,Hot,1,7.080775404,Stellwagen and Cashes and Georges Shoals
1983,Fall,Hot,2,12.5615874,Northeast Peak
1983,Spring,Hot,1,37.92473273,Georges Bank
1983,Spring,Hot,2,33.48102352,Stellwagen and Cashes
1984,Fall,Cold,1,0.175706054,Southern New England
1984,Fall,Cold,2,0.754717288,Eastern Gulf of Maine
1984,Spring,Cold,1,0.75076349,Southern New England
1984,Fall,Hot,1,7.336137259,Georges Shoals
1984,Fall,Hot,2,12.53957618,Northeast Peak
1984,Fall,Hot,3,7.985043854,Stellwagen and Cashes
1984,Fall,Hot,4,5.508310227,Jordan Basin
1984,Spring,Hot,1,23.99655035,Georges Bank
1984,Spring,Hot,2,17.1853143,Stellwagen and Cashes
1985,Fall,Cold,1,0.093001058,Southern New England
1985,Fall,Cold,2,0.503944861,Eastern Gulf of Maine
1985,Spring,Cold,1,1.433250604,Southern New England
1985,Spring,Cold,2,3.242779274,Eastern Gulf of Maine
1985,Fall,Hot,1,8.12867785,Georges Shoals
1985,Fall,Hot,2,13.95248957,Northeast Peak
1985,Fall,Hot,3,7.309098403,Stellwagen Bank
1985,Fall,Hot,4,5.246955559,Davis Swell
1985,Fall,Hot,5,6.506556443,Jordan Basin
1985,Spring,Hot,1,75.07133604,Georges Bank
1986,Fall,Cold,1,0.084586411,Southern New England
1986,Spring,Cold,1,0.902696789,Southern New England
1986,Spring,Cold,2,0.893769599,Southwest Georges
1986,Spring,Cold,3,1.940108307,Eastern Gulf of Maine
1986,Fall,Hot,1,8.921350952,Georges Shoals
1986,Fall,Hot,2,16.14541423,Northeast Peak
1986,Fall,Hot,3,9.011300033,Stellwagen Bank
1986,Spring,Hot,1,56.26242125,Georges Bank
1987,Fall,Cold,1,0.034098893,Southern New England
1987,Fall,Cold,2,0.147018303,Eastern Gulf of Maine
1987,Spring,Cold,1,0.461190932,Southern New England
1987,Spring,Cold,2,0.71420734,Eastern Gulf of Maine
1987,Fall,Hot,1,3.453552685,Georges Shoals
1987,Fall,Hot,2,6.804891287,Northeast Peak
1987,Fall,Hot,3,3.725363709,Stellwagen Bank
1987,Spring,Hot,1,33.36245272,Georges Bank
1988,Fall,Cold,1,0.096336714,Southern New England
1988,Fall,Cold,2,0.485958956,Eastern Gulf of Maine
1988,Fall,Cold,3,0.808299905,Eastern Gulf of Maine
1988,Spring,Cold,1,0.643656318,Southern New England
1988,Spring,Cold,2,1.316335867,Eastern Gulf of Maine
1988,Fall,Hot,1,41.52626684,Northeast Peak
1988,Spring,Hot,1,49.52432277,Georges Bank
1989,Fall,Cold,1,0.389144208,Southern New England
1989,Fall,Cold,2,1.055842373,Eastern Gulf of Maine
1989,Spring,Cold,1,0.470081615,Southern New England
1989,Spring,Cold,2,0.847265592,Cashes Ledge
1989,Spring,Cold,3,1.184082297,Jeffreys Ledge
1989,Spring,Cold,4,1.004967257,Eastern Gulf of Maine
1989,Fall,Hot,1,51.81905625,Georges Shoals
1989,Fall,Hot,2,135.8923001,Northeast Peak
1989,Spring,Hot,1,38.66956392,Georges Bank
1990,Fall,Cold,1,0.199835065,Southern New England
1990,Fall,Cold,2,0.870234274,Eastern Gulf of Maine
1990,Spring,Cold,1,0.705216366,Southern New England
1990,Spring,Cold,2,0.996297662,Wilkinson Basin
1990,Spring,Cold,3,1.827554614,Eastern Gulf of Maine
1990,Fall,Hot,1,65.08886141,Georges Bank
1990,Spring,Hot,1,59.1292363,Georges Bank
1991,Fall,Cold,1,0.07030059,Southern New England
1991,Fall,Cold,2,0.357643603,Central Georges
1991,Fall,Cold,3,0.373062992,Eastern Gulf of Maine
1991,Spring,Cold,1,0.550212708,Southern New England
1991,Spring,Cold,2,1.564463942,Eastern Gulf of Maine
1991,Fall,Hot,1,40.97803208,Northeast Peak
1991,Fall,Hot,2,17.22456127,Stellwagen Bank
1991,Spring,Hot,1,35.91730771,Georges Shoals
1991,Spring,Hot,2,80.16411079,Northeast Peak
1991,Spring,Hot,3,50.01415948,Stellwagen Bank
1992,Fall,Cold,1,0.060761363,Southern New England
1992,Fall,Cold,2,0.224004887,Eastern Gulf of Maine
1992,Spring,Cold,1,0.752926562,Southern New England
1992,Spring,Cold,2,1.833915663,Eastern Gulf of Maine
1992,Fall,Hot,1,6.767928786,Georges Shoals
1992,Fall,Hot,2,17.56208667,Northeast Peak
1992,Fall,Hot,3,16.43837239,Stellwagen Bank
1992,Spring,Hot,1,86.06238029,Northeast Peak
1992,Spring,Hot,2,85.03435977,Stellwagen Bank
1993,Fall,Cold,1,0.063690746,Southern New England
1993,Spring,Cold,1,0.426805363,Southern New England
1993,Spring,Cold,2,0.89191461,Eastern Gulf of Maine
1993,Fall,Hot,1,33.96259637,Northeast Peak
1993,Fall,Hot,2,15.49049664,Stellwagen Bank
1993,Spring,Hot,1,76.70476972,Northeast Peak
1993,Spring,Hot,2,49.2369475,Stellwagen Bank
1994,Fall,Cold,1,0.0420034,Southern New England
1994,Fall,Cold,2,0.133560886,Eastern Gulf of Maine
1994,Spring,Cold,1,0.151052532,Southern New England
1994,Spring,Cold,2,0.132213405,Southern New England
1994,Spring,Cold,3,0.352543768,Eastern Gulf of Maine
1994,Fall,Hot,1,31.6743184,Northeast Peak
1994,Fall,Hot,2,13.04590437,Stellwagen Bank
1994,Spring,Hot,1,30.2753666,Northeast Peak
1994,Spring,Hot,2,15.88262175,Stellwagen Bank
1995,Fall,Cold,1,0.056436819,Southern New England
1995,Fall,Cold,2,0.285865734,Eastern Gulf of Maine
1995,Spring,Cold,1,0.155167115,Southern New England
1995,Spring,Cold,2,0.381691998,Eastern Gulf of Maine
1995,Fall,Hot,1,63.47657422,Northeast Peak
1995,Fall,Hot,2,1.168343137,Stellwagen Bank
1995,Fall,Hot,3,30.69279238,Stellwagen Bank
1995,Spring,Hot,1,43.3144453,Northeast Peak
1995,Spring,Hot,2,25.29768255,Stellwagen Bank
1996,Fall,Cold,1,0.090172503,Southern New England
1996,Fall,Cold,2,0.318298881,Eastern Gulf of Maine
1996,Spring,Cold,1,0.226498718,Southern New England
1996,Spring,Cold,2,0.451193017,Eastern Gulf of Maine
1996,Fall,Hot,1,55.26180514,Northeast Peak
1996,Fall,Hot,2,28.13336016,Stellwagen Bank
1996,Spring,Hot,1,45.20308182,Northeast Peak
1996,Spring,Hot,2,34.96243285,Stellwagen Bank
1997,Fall,Cold,1,0.043353357,Southern New England
1997,Fall,Cold,2,0.192034795,Eastern Gulf of Maine
1997,Spring,Cold,1,0.321120322,Southern New England
1997,Spring,Cold,2,0.93092524,Eastern Gulf of Maine
1997,Fall,Hot,1,46.69741669,Northeast Peak
1997,Fall,Hot,2,24.128621,Stellwagen Bank
1997,Spring,Hot,1,109.2878918,Northeast Peak
1997,Spring,Hot,2,69.77458855,Stellwagen Bank
1998,Fall,Cold,1,0.037324646,Southern New England
1998,Fall,Cold,2,0.102787182,Central Georges
1998,Fall,Cold,3,0.144260637,Eastern Gulf of Maine
1998,Spring,Cold,1,0.214664801,Southern New England
1998,Spring,Cold,2,0.599702747,Eastern Gulf of Maine
1998,Fall,Hot,1,40.22131169,Northeast Peak
1998,Fall,Hot,2,19.06410257,Stellwagen Bank
1998,Spring,Hot,1,78.29867667,Northeast Peak
1998,Spring,Hot,2,45.601519,Stellwagen Bank
1999,Fall,Cold,1,0.019220145,Southern New England
1999,Fall,Cold,2,0.230747452,Eastern Gulf of Maine
1999,Spring,Cold,1,0.172657528,Southern New England
1999,Spring,Cold,2,0.451894667,Eastern Gulf of Maine
1999,Fall,Hot,1,51.01687489,Northeast Peak
1999,Fall,Hot,2,29.61422508,Stellwagen Bank
1999,Spring,Hot,1,66.37081356,Northeast Peak
1999,Spring,Hot,2,46.9549016,Stellwagen Bank
2000,Fall,Cold,1,0.05341995,Southern New England
2000,Fall,Cold,2,0.123607962,Eastern Gulf of Maine
2000,Spring,Cold,1,0.158474843,Southern New England
2000,Spring,Cold,2,0.419751795,Eastern Gulf of Maine
2000,Fall,Hot,1,82.18757737,Northeast Peak
2000,Fall,Hot,2,38.47557622,Stellwagen Bank
2000,Spring,Hot,1,66.14624756,Northeast Peak
2000,Spring,Hot,2,45.3064221,Stellwagen Bank
2001,Fall,Cold,1,0.085183971,Southern New England
2001,Fall,Cold,2,0.330110287,Eastern Gulf of Maine
2001,Spring,Cold,1,0.235401851,Southern New England
2001,Spring,Cold,2,0.530060008,Eastern Gulf of Maine
2001,Fall,Hot,1,87.53016941,Northeast Peak
2001,Fall,Hot,2,68.526586,Stellwagen Bank
2001,Spring,Hot,1,76.92963281,Northeast Peak
2001,Spring,Hot,2,73.8730404,Stellwagen Bank
2002,Fall,Cold,1,0.114989619,Southern New England
2002,Fall,Cold,2,0.284831909,Eastern Gulf of Maine
2002,Spring,Cold,1,0.204137688,Southern New England
2002,Spring,Cold,2,0.474021829,Eastern Gulf of Maine
2002,Fall,Hot,1,69.43007518,Northeast Peak
2002,Fall,Hot,2,57.52624847,Stellwagen Bank
2002,Spring,Hot,1,70.89336935,Northeast Peak
2002,Spring,Hot,2,85.79727713,Stellwagen Bank
2003,Fall,Cold,1,0.053383313,Southern New England
2003,Fall,Cold,2,0.207648272,Eastern Gulf of Maine
2003,Spring,Cold,1,0.480916808,Southern New England
2003,Spring,Cold,2,0.801600455,Eastern Gulf of Maine
2003,Fall,Hot,1,51.67731216,Northeast Peak
2003,Fall,Hot,2,41.31532551,Stellwagen Bank
2003,Spring,Hot,1,155.5190242,Northeast Peak
2003,Spring,Hot,2,174.6596337,Stellwagen Bank
2004,Fall,Cold,1,0.061937452,Southern New England
2004,Fall,Cold,2,0.232855761,Central Georges
2004,Fall,Cold,3,0.153955729,Eastern Gulf of Maine
2004,Spring,Cold,1,0.201471463,Southern New England
2004,Spring,Cold,2,0.496427351,Eastern Gulf of Maine
2004,Fall,Hot,1,84.15808448,Northeast Peak
2004,Fall,Hot,2,53.94824913,Stellwagen Bank
2004,Spring,Hot,1,89.40538422,Northeast Peak
2004,Spring,Hot,2,80.93311808,Stellwagen Bank
2005,Fall,Cold,1,0.037396234,Southern New England
2005,Fall,Cold,2,0.050469738,Central Georges
2005,Fall,Cold,3,0.075675645,Eastern Gulf of Maine
2005,Spring,Cold,1,0.124589819,Southern New England
2005,Spring,Cold,2,0.238227062,Eastern Gulf of Maine
2005,Fall,Hot,1,71.08523166,Northeast Peak
2005,Fall,Hot,2,41.92095448,Stellwagen Bank
2005,Spring,Hot,1,78.68189492,Northeast Peak
2005,Spring,Hot,2,57.74203157,Stellwagen Bank
2006,Fall,Cold,1,0.014452014,Southern New England
2006,Fall,Cold,2,0.061319537,Eastern Gulf of Maine
2006,Spring,Cold,1,0.192210716,Southern New England
