"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1982 Spring","Stratum_1"," [counts*km2/km2]",3401546.34967546,781313.283110655,0.247458190132163
"1","1982 Fall","Stratum_1"," [counts*km2/km2]",2062228.40434432,558644.184418191,0.29149056136229
"1","1983 Spring","Stratum_1"," [counts*km2/km2]",2399576.39403338,524321.385543454,0.236929236484575
"1","1983 Fall","Stratum_1"," [counts*km2/km2]",1916409.37947858,585060.955540377,0.335343375879317
"1","1984 Spring","Stratum_1"," [counts*km2/km2]",1371395.87708582,305317.801513784,0.246222268564163
"1","1984 Fall","Stratum_1"," [counts*km2/km2]",2986992.98028707,820062.580849111,0.301649165580453
"1","1985 Spring","Stratum_1"," [counts*km2/km2]",1592967.3005021,421061.125391788,0.296445017251016
"1","1985 Fall","Stratum_1"," [counts*km2/km2]",2520221.59913176,648667.118164421,0.284712185179447
"1","1986 Spring","Stratum_1"," [counts*km2/km2]",4177466.99783704,721638.091344848,0.188436163124287
"1","1986 Fall","Stratum_1"," [counts*km2/km2]",4839577.68247947,1148202.40563706,0.263537333198586
"1","1987 Spring","Stratum_1"," [counts*km2/km2]",1064171.24580307,233561.664939039,0.241014491769205
"1","1987 Fall","Stratum_1"," [counts*km2/km2]",6413671.1994707,1357706.74378196,0.231406537602554
"1","1988 Spring","Stratum_1"," [counts*km2/km2]",5165390.3131182,1225087.01744884,0.264922682182368
"1","1988 Fall","Stratum_1"," [counts*km2/km2]",4464251.48895851,1024116.61969092,0.256186362410252
"1","1989 Spring","Stratum_1"," [counts*km2/km2]",3442189.69099233,583739.113023343,0.183963226521715
"1","1989 Fall","Stratum_1"," [counts*km2/km2]",2764305.97287482,605044.870227847,0.234983058220958
"1","1990 Spring","Stratum_1"," [counts*km2/km2]",1683319.42530055,342144.137886498,0.218289299015906
"1","1990 Fall","Stratum_1"," [counts*km2/km2]",2753520.94275205,499140.940431451,0.194164373198904
"1","1991 Spring","Stratum_1"," [counts*km2/km2]",3507382.64280031,635862.58949141,0.194483012179428
"1","1991 Fall","Stratum_1"," [counts*km2/km2]",2073533.94515153,428627.489184979,0.221186944555403
"1","1992 Spring","Stratum_1"," [counts*km2/km2]",1122867.63039565,273843.780309595,0.269497927740706
"1","1992 Fall","Stratum_1"," [counts*km2/km2]",3714669.24038044,900634.885326489,0.267764126657618
"1","1993 Spring","Stratum_1"," [counts*km2/km2]",2198291.43184082,466623.848103391,0.234131031497022
"1","1993 Fall","Stratum_1"," [counts*km2/km2]",2889038.81961022,869373.117364665,0.33733195376836
"1","1994 Spring","Stratum_1"," [counts*km2/km2]",1250104.22531152,290747.485000023,0.256858677949989
"1","1994 Fall","Stratum_1"," [counts*km2/km2]",2408121.79622906,522311.166938232,0.237878605948705
"1","1995 Spring","Stratum_1"," [counts*km2/km2]",1474330.28046477,306457.369570426,0.226258084786862
"1","1995 Fall","Stratum_1"," [counts*km2/km2]",882069.875242221,234422.640527804,0.291333286491154
"1","1996 Spring","Stratum_1"," [counts*km2/km2]",1312632.2901156,362890.193953859,0.314890206317287
"1","1996 Fall","Stratum_1"," [counts*km2/km2]",1362282.62481181,373487.688768234,0.303831641332657
"1","1997 Spring","Stratum_1"," [counts*km2/km2]",2370522.35293345,453321.009292063,0.206876045350271
