"Quantile","Year","Season","Northing.Est","Northing.SD","Easting.Est","Easting.SD","strata"
"0.05",1982,"Spring",4502.07687135621,72.7951404530071,277.675685778967,77.8058308380197,"ALL"
"0.05",1982,"Fall",4534.8052961735,20.6224273931162,367.15560030888,44.4385061641908,"ALL"
"0.05",1983,"Spring",4506.04116224423,65.0036135735138,307.047408218485,106.70892830557,"ALL"
"0.05",1983,"Fall",4529.8048374579,13.6666897959151,371.87556730558,30.7408175569316,"ALL"
"0.05",1984,"Spring",4496.42448031505,97.8866098447323,277.528832632114,107.417745068755,"ALL"
"0.05",1984,"Fall",4533.53069952687,29.3740766461005,367.082037090489,62.0125050373368,"ALL"
"0.05",1985,"Spring",4511.1988374579,89.6431860010758,289.443695546977,101.349128805127,"ALL"
"0.05",1985,"Fall",4537.15647680216,14.4158299001197,380.935759039038,20.9777886832026,"ALL"
"0.05",1986,"Spring",4496.4298374579,103.536808924201,297.530669179404,109.366362201447,"ALL"
"0.05",1986,"Fall",4549.42725125101,32.5150734486458,382.133974964527,51.809970587894,"ALL"
"0.05",1987,"Spring",4505.07726736445,83.7650552772255,351.858261373306,109.98239485022,"ALL"
"0.05",1987,"Fall",4537.74283745789,71.1760798049203,357.898933642214,91.0887625226573,"ALL"
"0.05",1988,"Spring",4524.58817079123,74.1890989774437,381.84523994852,105.265033684435,"ALL"
"0.05",1988,"Fall",4538.8896200666,24.6370243149914,368.857899159455,54.9535584326506,"ALL"
"0.05",1989,"Spring",4492.19876269155,78.3222272950605,345.677231514555,111.274067631003,"ALL"
"0.05",1989,"Fall",4527.49060981562,48.4077329687591,375.342505070785,87.8736001938933,"ALL"
"0.05",1990,"Spring",4507.65138918204,116.390568602949,344.194933642213,135.137677666374,"ALL"
"0.05",1990,"Fall",4527.38195610197,17.8433136036854,382.638107195932,45.1161340603881,"ALL"
"0.05",1991,"Spring",4502.40578085413,63.8778241908067,369.799803207431,114.479918476613,"ALL"
"0.05",1991,"Fall",4543.21880142187,42.3075067403133,374.066492697331,67.9124739836117,"ALL"
"0.05",1992,"Spring",4505.78115324738,85.5409842033565,350.547130363525,124.927576875695,"ALL"
"0.05",1992,"Fall",4540.2548374579,42.338877855453,362.988933642213,61.1320184429571,"ALL"
"0.05",1993,"Spring",4523.2548374579,97.3866067839857,356.968685708329,129.906563083436,"ALL"
"0.05",1993,"Fall",4549.42725125101,38.7271865562443,361.23996457005,54.7333460347643,"ALL"
"0.05",1994,"Spring",4523.2648374579,93.1483568667127,350.547130363525,120.479570340296,"ALL"
"0.05",1994,"Fall",4537.74283745789,49.0521518925619,366.419667587168,71.4718427510037,"ALL"
"0.05",1995,"Spring",4522.14372634679,104.578695886381,351.858261373306,128.170345009394,"ALL"
