"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"Small","1982 Spring","Stratum_1"," [counts*km2/km2]",607383.289506701,423436.306244332,0.69714842926982
"Medium","1982 Spring","Stratum_1"," [counts*km2/km2]",2436547.1194216,1708104.28442743,0.701034784352093
"Large","1982 Spring","Stratum_1"," [counts*km2/km2]",367935.205277325,253879.564262429,0.690011612427983
"Small","1982 Fall","Stratum_1"," [counts*km2/km2]",343880.667348546,246074.912037196,0.715582280139589
"Medium","1982 Fall","Stratum_1"," [counts*km2/km2]",931327.659312131,567836.11525892,0.609706057348623
"Large","1982 Fall","Stratum_1"," [counts*km2/km2]",23050.9435487668,19622.834920964,0.851281201546034
"Small","1983 Spring","Stratum_1"," [counts*km2/km2]",529251.190080246,279117.385407624,0.527381686879728
"Medium","1983 Spring","Stratum_1"," [counts*km2/km2]",1246426.58210036,673285.796587631,0.540172847929054
"Large","1983 Spring","Stratum_1"," [counts*km2/km2]",178479.278853011,125961.116986919,0.705746447410608
"Small","1983 Fall","Stratum_1"," [counts*km2/km2]",391610.710928053,321838.621222395,0.821833040418354
"Medium","1983 Fall","Stratum_1"," [counts*km2/km2]",1148902.0430885,827534.58931882,0.720282981736396
"Large","1983 Fall","Stratum_1"," [counts*km2/km2]",33697.394411447,27807.3560649081,0.825207899619147
"Small","1984 Spring","Stratum_1"," [counts*km2/km2]",253472.363400543,177618.92903172,0.700742781772397
"Medium","1984 Spring","Stratum_1"," [counts*km2/km2]",1035265.64082586,734414.991209242,0.709397629214644
"Large","1984 Spring","Stratum_1"," [counts*km2/km2]",74490.2036876903,61413.0936696113,0.8244452374851
"Small","1984 Fall","Stratum_1"," [counts*km2/km2]",1000190.3456066,585550.502847575,0.58543906709322
"Medium","1984 Fall","Stratum_1"," [counts*km2/km2]",671573.018729768,399975.043584776,0.595579382181405
"Large","1984 Fall","Stratum_1"," [counts*km2/km2]",19286.3575248638,16193.4010043861,0.839629825565026
"Small","1985 Spring","Stratum_1"," [counts*km2/km2]",440693.454055223,314165.209893734,0.712888305925159
"Medium","1985 Spring","Stratum_1"," [counts*km2/km2]",967523.630500854,619691.934302268,0.640492815644693
"Large","1985 Spring","Stratum_1"," [counts*km2/km2]",159604.369962834,125310.499604468,0.785132008814345
"Small","1985 Fall","Stratum_1"," [counts*km2/km2]",865607.688653537,539496.421946724,0.623257428299784
"Medium","1985 Fall","Stratum_1"," [counts*km2/km2]",1612979.64136919,1000410.78519827,0.620225302006333
"Large","1985 Fall","Stratum_1"," [counts*km2/km2]",43891.7300176891,36833.3116426567,0.839185687777908
"Small","1986 Spring","Stratum_1"," [counts*km2/km2]",873623.818942995,471269.103085903,0.539441682869974
"Medium","1986 Spring","Stratum_1"," [counts*km2/km2]",590148.077139109,344008.825861889,0.582919506456002
"Large","1986 Spring","Stratum_1"," [counts*km2/km2]",78102.1348059637,55681.7094679842,0.712934538938269
"Small","1986 Fall","Stratum_1"," [counts*km2/km2]",1467482.3514122,742622.911186049,0.506052362722728
"Medium","1986 Fall","Stratum_1"," [counts*km2/km2]",551702.507578098,364828.11593352,0.661276885499521
"Large","1986 Fall","Stratum_1"," [counts*km2/km2]",36128.4973221436,32086.8912962145,0.888132462585097
"Small","1987 Spring","Stratum_1"," [counts*km2/km2]",211741.826162461,120378.696923085,0.568516381977002
"Medium","1987 Spring","Stratum_1"," [counts*km2/km2]",518232.370065875,328286.135555238,0.633472848316109
"Large","1987 Spring","Stratum_1"," [counts*km2/km2]",33132.2771285387,25305.5282221719,0.763772683778951
"Small","1987 Fall","Stratum_1"," [counts*km2/km2]",1776179.65638293,995523.247800188,0.560485671718314
"Medium","1987 Fall","Stratum_1"," [counts*km2/km2]",841215.031003063,505778.739883457,0.601247863201359
"Large","1987 Fall","Stratum_1"," [counts*km2/km2]",7886.51772179937,6964.31228754117,0.883065572564543
"Small","1988 Spring","Stratum_1"," [counts*km2/km2]",1988879.61153085,1121092.08937663,0.563680216176441
"Medium","1988 Spring","Stratum_1"," [counts*km2/km2]",1488450.28729729,937943.16258195,0.630147456442805
"Large","1988 Spring","Stratum_1"," [counts*km2/km2]",76239.8879311058,59393.3744355032,0.779032814019533
"Small","1988 Fall","Stratum_1"," [counts*km2/km2]",1314569.94950225,818411.683687053,0.622569901279836
"Medium","1988 Fall","Stratum_1"," [counts*km2/km2]",1656522.13455801,1047089.626491,0.632101198436676
"Large","1988 Fall","Stratum_1"," [counts*km2/km2]",14127.3611055724,13056.6332942905,0.924208930225506
"Small","1989 Spring","Stratum_1"," [counts*km2/km2]",333313.216411655,211480.53759817,0.634479904142122
"Medium","1989 Spring","Stratum_1"," [counts*km2/km2]",2237939.77764311,1447635.52992507,0.646860806705733
"Large","1989 Spring","Stratum_1"," [counts*km2/km2]",53387.0079937633,41948.5789535005,0.785745081619875
"Small","1989 Fall","Stratum_1"," [counts*km2/km2]",326747.913606854,243531.612860908,0.745319565081991
"Medium","1989 Fall","Stratum_1"," [counts*km2/km2]",1358088.84509512,850623.025649924,0.626338275821969
"Large","1989 Fall","Stratum_1"," [counts*km2/km2]",25218.391248487,20386.6637533031,0.808404610445808
"Small","1990 Spring","Stratum_1"," [counts*km2/km2]",181506.154527742,113981.872901509,0.627978005473571
"Medium","1990 Spring","Stratum_1"," [counts*km2/km2]",1089526.57920695,692505.827512085,0.635602509133967
"Large","1990 Spring","Stratum_1"," [counts*km2/km2]",79449.4030993726,59214.5272196212,0.745311165466626
"Small","1990 Fall","Stratum_1"," [counts*km2/km2]",199624.110524548,141197.185581326,0.707315289772892
"Medium","1990 Fall","Stratum_1"," [counts*km2/km2]",2089193.13892253,1251298.09877704,0.598938449234225
"Large","1990 Fall","Stratum_1"," [counts*km2/km2]",189207.423093126,139576.153892382,0.737688572734717
"Small","1991 Spring","Stratum_1"," [counts*km2/km2]",494653.068827791,318003.244871062,0.642881374666599
"Medium","1991 Spring","Stratum_1"," [counts*km2/km2]",1200056.99644842,768426.55463335,0.640325048649786
"Large","1991 Spring","Stratum_1"," [counts*km2/km2]",118145.843432308,92362.4864165617,0.781766702351075
"Small","1991 Fall","Stratum_1"," [counts*km2/km2]",280598.00221943,183171.235644165,0.652788808884406
"Medium","1991 Fall","Stratum_1"," [counts*km2/km2]",867056.055650999,548356.991123346,0.632435455065971
"Large","1991 Fall","Stratum_1"," [counts*km2/km2]",70501.9110880211,55160.8296000395,0.782401905831625
"Small","1992 Spring","Stratum_1"," [counts*km2/km2]",227202.544924246,140536.990960618,0.618553771074509
"Medium","1992 Spring","Stratum_1"," [counts*km2/km2]",835403.401592729,547497.132702761,0.655368570033275
"Large","1992 Spring","Stratum_1"," [counts*km2/km2]",176855.629230894,133191.373914529,0.7531079134645
"Small","1992 Fall","Stratum_1"," [counts*km2/km2]",1229206.90521007,779051.446044897,0.633783818446544
"Medium","1992 Fall","Stratum_1"," [counts*km2/km2]",985877.334500421,688640.216585299,0.698504968606727
"Large","1992 Fall","Stratum_1"," [counts*km2/km2]",23580.0805463884,19963.4763621699,0.846624604309401
"Small","1993 Spring","Stratum_1"," [counts*km2/km2]",391323.966745344,248402.110291219,0.634773567172972
"Medium","1993 Spring","Stratum_1"," [counts*km2/km2]",1605450.84165,1079625.48343078,0.672474955583937
"Large","1993 Spring","Stratum_1"," [counts*km2/km2]",98185.5807933477,78818.4036576215,0.802749273577262
"Small","1993 Fall","Stratum_1"," [counts*km2/km2]",661208.975202081,463428.365027836,0.70088033043744
"Medium","1993 Fall","Stratum_1"," [counts*km2/km2]",925794.869813536,688553.193382737,0.743742718645027
"Large","1993 Fall","Stratum_1"," [counts*km2/km2]",14258.9328158368,14470.0481515625,1.01480583003318
"Small","1994 Spring","Stratum_1"," [counts*km2/km2]",226429.600092173,136416.934117747,0.602469527227075
"Medium","1994 Spring","Stratum_1"," [counts*km2/km2]",717275.066723471,473134.300468159,0.659627418292186
"Large","1994 Spring","Stratum_1"," [counts*km2/km2]",35204.3973283513,29029.2940394937,0.824592841875338
"Small","1994 Fall","Stratum_1"," [counts*km2/km2]",716767.294793341,466236.648430433,0.650471431686709
"Medium","1994 Fall","Stratum_1"," [counts*km2/km2]",586356.524031244,404323.198567482,0.689551803376776
"Large","1994 Fall","Stratum_1"," [counts*km2/km2]",10901.9345169484,9990.5075040503,0.916397680477604
"Small","1995 Spring","Stratum_1"," [counts*km2/km2]",170896.098827062,104815.684368103,0.613329883405771
"Medium","1995 Spring","Stratum_1"," [counts*km2/km2]",529387.841599165,351167.802970855,0.663346936548548
"Large","1995 Spring","Stratum_1"," [counts*km2/km2]",29097.1358793306,23573.6568021624,0.810171038824068
"Small","1995 Fall","Stratum_1"," [counts*km2/km2]",128965.380354816,104635.839487789,0.811348279669399
"Medium","1995 Fall","Stratum_1"," [counts*km2/km2]",628175.651465273,449421.31961151,0.715438935850502
"Large","1995 Fall","Stratum_1"," [counts*km2/km2]",21285.8084303236,17597.4496984124,0.826722168247239
"Small","1996 Spring","Stratum_1"," [counts*km2/km2]",433865.321623861,314708.093190187,0.725358947823498
"Medium","1996 Spring","Stratum_1"," [counts*km2/km2]",884944.651495523,675612.252670131,0.763451422106877
"Large","1996 Spring","Stratum_1"," [counts*km2/km2]",43930.2006937538,37804.7927962105,0.860564991718458
"Small","1996 Fall","Stratum_1"," [counts*km2/km2]",220680.768146146,149001.987310653,0.67519244455401
"Medium","1996 Fall","Stratum_1"," [counts*km2/km2]",682687.864248396,455616.731014299,0.667386597703637
"Large","1996 Fall","Stratum_1"," [counts*km2/km2]",45552.7128169687,36983.3476086094,0.811880244261386
"Small","1997 Spring","Stratum_1"," [counts*km2/km2]",428423.659069054,217052.0671179,0.506629506852036
"Medium","1997 Spring","Stratum_1"," [counts*km2/km2]",440245.672958946,255191.468112708,0.579656959255351
"Large","1997 Spring","Stratum_1"," [counts*km2/km2]",60736.1422068325,45423.8063778572,0.747887579411445
"Small","1997 Fall","Stratum_1"," [counts*km2/km2]",394596.418391492,296578.163089388,0.751598720278151
"Medium","1997 Fall","Stratum_1"," [counts*km2/km2]",583646.270422893,408156.080764167,0.699320978215844
"Large","1997 Fall","Stratum_1"," [counts*km2/km2]",45778.810798097,38772.8477667958,0.846960571732623
"Small","1998 Spring","Stratum_1"," [counts*km2/km2]",321056.829509096,230404.758290204,0.717644781587419
"Medium","1998 Spring","Stratum_1"," [counts*km2/km2]",743704.657470305,545728.737728668,0.733797660465045
"Large","1998 Spring","Stratum_1"," [counts*km2/km2]",78378.3658140045,67586.1555684917,0.862306261001623
"Small","1998 Fall","Stratum_1"," [counts*km2/km2]",424661.812404855,286179.974934389,0.673900893781232
"Medium","1998 Fall","Stratum_1"," [counts*km2/km2]",706304.44327069,492693.322891774,0.697565090501562
"Large","1998 Fall","Stratum_1"," [counts*km2/km2]",25644.7311108335,22385.9364610734,0.872925372635963
"Small","1999 Spring","Stratum_1"," [counts*km2/km2]",299377.755828042,167306.851599174,0.558848639694103
"Medium","1999 Spring","Stratum_1"," [counts*km2/km2]",296718.624125331,201898.78217911,0.680438522436091
"Large","1999 Spring","Stratum_1"," [counts*km2/km2]",62731.3486236197,49400.265317385,0.787489292056839
"Small","1999 Fall","Stratum_1"," [counts*km2/km2]",216148.850396825,142967.077661958,0.661428813521265
"Medium","1999 Fall","Stratum_1"," [counts*km2/km2]",605068.579996995,439141.911512101,0.725772129027559
