"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"Small","1982 Spring","Stratum_1"," [counts*km2/km2]",329710.331898677,141845.315240196,0.430211920940913
"Medium","1982 Spring","Stratum_1"," [counts*km2/km2]",4045602.5071767,746340.018160319,0.184481796428677
"Large","1982 Spring","Stratum_1"," [counts*km2/km2]",1679423.41064352,325448.612173916,0.193785920876981
"Small","1982 Fall","Stratum_1"," [counts*km2/km2]",612076.954642719,260370.446425185,0.425388416358804
"Medium","1982 Fall","Stratum_1"," [counts*km2/km2]",1639260.40874291,436088.158338444,0.26602738406454
"Large","1982 Fall","Stratum_1"," [counts*km2/km2]",197328.476619007,94778.5457896748,0.48030850596728
"Small","1983 Spring","Stratum_1"," [counts*km2/km2]",514946.770544206,205201.179863767,0.398490080143441
"Medium","1983 Spring","Stratum_1"," [counts*km2/km2]",4719090.24997406,1018054.99669623,0.215731198762691
"Large","1983 Spring","Stratum_1"," [counts*km2/km2]",1569649.56192968,318224.292457526,0.202735884604911
"Small","1983 Fall","Stratum_1"," [counts*km2/km2]",285189.197246487,148542.473611059,0.520855891615962
"Medium","1983 Fall","Stratum_1"," [counts*km2/km2]",1384957.57993837,438940.713531867,0.316934410042652
"Large","1983 Fall","Stratum_1"," [counts*km2/km2]",203054.394855896,88297.1448559047,0.434844785893788
"Small","1984 Spring","Stratum_1"," [counts*km2/km2]",372015.565831351,132381.881644318,0.355850383164696
"Medium","1984 Spring","Stratum_1"," [counts*km2/km2]",1795704.68476056,395243.835601127,0.220105142541201
"Large","1984 Spring","Stratum_1"," [counts*km2/km2]",833218.656640406,212297.06783514,0.25479154378412
"Small","1984 Fall","Stratum_1"," [counts*km2/km2]",916899.778853212,401515.416288025,0.437905456570411
"Medium","1984 Fall","Stratum_1"," [counts*km2/km2]",1544206.09274392,407966.065300485,0.264191462018884
"Large","1984 Fall","Stratum_1"," [counts*km2/km2]",212071.981247844,93361.1756542972,0.440233429729634
"Small","1985 Spring","Stratum_1"," [counts*km2/km2]",266333.833963632,122895.987708365,0.461435882476525
"Medium","1985 Spring","Stratum_1"," [counts*km2/km2]",3829070.27003479,679851.307338433,0.177549968894213
"Large","1985 Spring","Stratum_1"," [counts*km2/km2]",3047738.72071881,518965.150716396,0.170278753617698
"Small","1985 Fall","Stratum_1"," [counts*km2/km2]",659075.409589327,293865.024868915,0.445874661068031
"Medium","1985 Fall","Stratum_1"," [counts*km2/km2]",1242360.76950507,416600.236638571,0.335329516887865
"Large","1985 Fall","Stratum_1"," [counts*km2/km2]",180054.377034881,89866.8247287122,0.499109359120455
"Small","1986 Spring","Stratum_1"," [counts*km2/km2]",1288608.65328132,339819.991645643,0.26371077889344
"Medium","1986 Spring","Stratum_1"," [counts*km2/km2]",3572407.97330006,778678.200509585,0.217970121646065
"Large","1986 Spring","Stratum_1"," [counts*km2/km2]",2185696.92940259,399252.380374999,0.182665938266256
"Small","1986 Fall","Stratum_1"," [counts*km2/km2]",1479970.77447783,579091.016625934,0.391285440640037
"Medium","1986 Fall","Stratum_1"," [counts*km2/km2]",891639.485385373,269666.185310042,0.302438586143918
"Large","1986 Fall","Stratum_1"," [counts*km2/km2]",223220.358994498,111586.95983512,0.499895978743902
"Small","1987 Spring","Stratum_1"," [counts*km2/km2]",161666.945292509,69321.5553190276,0.428792386678688
"Medium","1987 Spring","Stratum_1"," [counts*km2/km2]",4629807.9776896,760082.780429791,0.16417155616227
"Large","1987 Spring","Stratum_1"," [counts*km2/km2]",1189212.95362484,223894.365483273,0.188271044980482
"Small","1987 Fall","Stratum_1"," [counts*km2/km2]",567668.114341386,224573.620874472,0.395607248673857
"Medium","1987 Fall","Stratum_1"," [counts*km2/km2]",2278127.9307454,575341.987224567,0.252550341646668
"Large","1987 Fall","Stratum_1"," [counts*km2/km2]",85541.3175402274,46520.5391086728,0.543837065483538
"Small","1988 Spring","Stratum_1"," [counts*km2/km2]",722950.219470378,157835.439955061,0.218321311349332
"Medium","1988 Spring","Stratum_1"," [counts*km2/km2]",7179043.83775644,872124.318968805,0.121481960366655
"Large","1988 Spring","Stratum_1"," [counts*km2/km2]",1718107.68203827,192854.07186515,0.112247953886312
"Small","1988 Fall","Stratum_1"," [counts*km2/km2]",490867.814331487,158811.340966235,0.323531786622678
"Medium","1988 Fall","Stratum_1"," [counts*km2/km2]",2090971.32082788,499686.66908486,0.238973468506024
"Large","1988 Fall","Stratum_1"," [counts*km2/km2]",267375.971454637,114701.069601504,0.428987948982409
"Small","1989 Spring","Stratum_1"," [counts*km2/km2]",1025312.93320166,270363.457172329,0.263688722162206
"Medium","1989 Spring","Stratum_1"," [counts*km2/km2]",6497775.43513559,849365.958858068,0.130716422464413
"Large","1989 Spring","Stratum_1"," [counts*km2/km2]",1297637.39180716,219762.985126324,0.169356236583372
