"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"Small","1982 Spring","Stratum_1"," [counts*km2/km2]",5359376.7177177,1600033.28560942,0.298548389091558
"Medium","1982 Spring","Stratum_1"," [counts*km2/km2]",396876.249138178,136895.691697873,0.344932940671413
"Large","1982 Spring","Stratum_1"," [counts*km2/km2]",110460.255429609,49765.9623990868,0.450532747779131
"Small","1982 Fall","Stratum_1"," [counts*km2/km2]",67433.2355116835,39719.726371465,0.589022995412748
"Medium","1982 Fall","Stratum_1"," [counts*km2/km2]",68183.7217693812,30541.9363718813,0.44793589407137
"Large","1982 Fall","Stratum_1"," [counts*km2/km2]",4348.10497084083,2942.57257929998,0.676748284375239
"Small","1983 Spring","Stratum_1"," [counts*km2/km2]",1958306.91759612,735067.040938312,0.37535844577449
"Medium","1983 Spring","Stratum_1"," [counts*km2/km2]",385448.720189136,143606.564314829,0.372569830415734
"Large","1983 Spring","Stratum_1"," [counts*km2/km2]",75593.9251855769,34564.1438947909,0.457234411494559
"Small","1983 Fall","Stratum_1"," [counts*km2/km2]",69054.3171577882,42775.3636276504,0.619445175743455
"Medium","1983 Fall","Stratum_1"," [counts*km2/km2]",54897.0366667829,25250.0710195542,0.45995326073461
"Large","1983 Fall","Stratum_1"," [counts*km2/km2]",3446.02206769539,2198.97210921867,0.63811898647802
"Small","1984 Spring","Stratum_1"," [counts*km2/km2]",917770.918728548,285257.709002609,0.310815807279878
"Medium","1984 Spring","Stratum_1"," [counts*km2/km2]",303063.833239748,114017.578814048,0.376216381859893
"Large","1984 Spring","Stratum_1"," [counts*km2/km2]",30469.4568641698,16058.3133996274,0.527029853903007
"Small","1984 Fall","Stratum_1"," [counts*km2/km2]",133339.748321818,78515.142824008,0.588835240895384
"Medium","1984 Fall","Stratum_1"," [counts*km2/km2]",101280.856557038,45184.7638899918,0.446133311131166
"Large","1984 Fall","Stratum_1"," [counts*km2/km2]",7632.69248329631,5054.64467873401,0.662236123071355
"Small","1985 Spring","Stratum_1"," [counts*km2/km2]",1188214.80513157,385690.70829395,0.324596787237677
"Medium","1985 Spring","Stratum_1"," [counts*km2/km2]",417505.443504855,147339.117995325,0.352903465781068
"Large","1985 Spring","Stratum_1"," [counts*km2/km2]",118195.749345332,56634.1931785177,0.47915592136101
"Small","1985 Fall","Stratum_1"," [counts*km2/km2]",82354.8462336666,44931.9655230965,0.54558981745422
"Medium","1985 Fall","Stratum_1"," [counts*km2/km2]",40641.2209873954,20361.8785168214,0.50101542281755
"Large","1985 Fall","Stratum_1"," [counts*km2/km2]",3775.12694905688,2712.12601880896,0.718419818831923
"Small","1986 Spring","Stratum_1"," [counts*km2/km2]",2738504.4151569,667638.160347282,0.243796634634614
"Medium","1986 Spring","Stratum_1"," [counts*km2/km2]",263307.453720695,93758.8412108109,0.356081227044434
"Large","1986 Spring","Stratum_1"," [counts*km2/km2]",63026.7573107918,28756.8737794344,0.456264529644625
