"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"Small","1982 Spring","Stratum_1"," [counts*km2/km2]",1933287.17403,541704.815199226,0.280198835680487
"Medium","1982 Spring","Stratum_1"," [counts*km2/km2]",5602110.5739869,995723.950867477,0.177740859934302
"Large","1982 Spring","Stratum_1"," [counts*km2/km2]",2219112.81692002,533804.402114813,0.240548564293228
"Small","1982 Fall","Stratum_1"," [counts*km2/km2]",1489551.73506605,456754.962674629,0.306639206898291
"Medium","1982 Fall","Stratum_1"," [counts*km2/km2]",3259415.07679008,709841.213792293,0.21778177895997
"Large","1982 Fall","Stratum_1"," [counts*km2/km2]",370589.121365144,155280.474741026,0.419009803010456
"Small","1983 Spring","Stratum_1"," [counts*km2/km2]",2121934.98088363,760935.374801776,0.358604472642656
"Medium","1983 Spring","Stratum_1"," [counts*km2/km2]",5695553.52583431,1119217.48278749,0.196507236339868
"Large","1983 Spring","Stratum_1"," [counts*km2/km2]",1205635.50480582,274819.128891296,0.227945451005577
"Small","1983 Fall","Stratum_1"," [counts*km2/km2]",1694863.69167699,590762.147823702,0.348560271085382
"Medium","1983 Fall","Stratum_1"," [counts*km2/km2]",2771234.93234986,655017.778034807,0.236363135578472
"Large","1983 Fall","Stratum_1"," [counts*km2/km2]",373608.997418332,132618.748214829,0.354966687449273
"Small","1984 Spring","Stratum_1"," [counts*km2/km2]",1087683.07556629,294993.038434501,0.271212309045918
"Medium","1984 Spring","Stratum_1"," [counts*km2/km2]",3014472.79763232,601909.010242134,0.199673060813451
"Large","1984 Spring","Stratum_1"," [counts*km2/km2]",614212.604000084,173265.247686429,0.282093279359677
"Small","1984 Fall","Stratum_1"," [counts*km2/km2]",1590577.54584271,560166.465203355,0.352178029086016
"Medium","1984 Fall","Stratum_1"," [counts*km2/km2]",3127142.57378162,730030.479765817,0.233449694902462
"Large","1984 Fall","Stratum_1"," [counts*km2/km2]",386510.553150463,148048.769146173,0.383039396827385
"Small","1985 Spring","Stratum_1"," [counts*km2/km2]",1202444.44329216,415144.936323012,0.345250825216
"Medium","1985 Spring","Stratum_1"," [counts*km2/km2]",3990085.85954978,832929.735259672,0.208749827592345
"Large","1985 Spring","Stratum_1"," [counts*km2/km2]",1342569.84257906,414346.164724586,0.308621683270222
"Small","1985 Fall","Stratum_1"," [counts*km2/km2]",1589338.06555208,481714.870871863,0.303091507913097
"Medium","1985 Fall","Stratum_1"," [counts*km2/km2]",2814370.25886367,758115.869317101,0.269373181062253
"Large","1985 Fall","Stratum_1"," [counts*km2/km2]",489175.807457288,220650.214530516,0.451065263585795
"Small","1986 Spring","Stratum_1"," [counts*km2/km2]",3150479.21132579,925388.240156499,0.29372935927645
"Medium","1986 Spring","Stratum_1"," [counts*km2/km2]",3571441.48973958,690805.227399965,0.193424764030038
"Large","1986 Spring","Stratum_1"," [counts*km2/km2]",786029.826431103,186426.836073039,0.237175269696181
"Small","1986 Fall","Stratum_1"," [counts*km2/km2]",1905608.84259699,551881.56770237,0.289609050591022
"Medium","1986 Fall","Stratum_1"," [counts*km2/km2]",2067144.79713019,488057.374944753,0.236102171276207
"Large","1986 Fall","Stratum_1"," [counts*km2/km2]",328616.787946991,148177.275167236,0.450912067192191
"Small","1987 Spring","Stratum_1"," [counts*km2/km2]",923460.521889391,205668.492275664,0.222714980663026
"Medium","1987 Spring","Stratum_1"," [counts*km2/km2]",4316260.52954441,734116.743889621,0.170081657227282
