"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1982 Spring","Stratum_1"," [counts*km2/km2]",7078658.11682021,1724595.4157232,0.243633099277
"1","1982 Fall","Stratum_1"," [counts*km2/km2]",1334121.76862504,465239.151956338,0.348723154735581
"1","1983 Spring","Stratum_1"," [counts*km2/km2]",3592092.12608761,1140973.09874197,0.317634698301762
"1","1983 Fall","Stratum_1"," [counts*km2/km2]",1784913.66311777,780695.873836018,0.437385790678721
"1","1984 Spring","Stratum_1"," [counts*km2/km2]",1464294.26220572,336738.480895857,0.229966400598072
"1","1984 Fall","Stratum_1"," [counts*km2/km2]",1114728.85961683,532076.493107778,0.477314719644627
"1","1985 Spring","Stratum_1"," [counts*km2/km2]",2424059.53296813,688873.33850159,0.284181691551981
"1","1985 Fall","Stratum_1"," [counts*km2/km2]",1241555.74349059,430523.353989245,0.34676119557777
"1","1986 Spring","Stratum_1"," [counts*km2/km2]",5368035.69713183,1165931.3944713,0.217198889920621
"1","1986 Fall","Stratum_1"," [counts*km2/km2]",1173729.02165229,492455.848202456,0.419565197007069
"1","1987 Spring","Stratum_1"," [counts*km2/km2]",1121636.36682009,265507.32493979,0.236714262120905
"1","1987 Fall","Stratum_1"," [counts*km2/km2]",7535287.51541587,1825027.98069348,0.242197524243075
"1","1988 Spring","Stratum_1"," [counts*km2/km2]",2750303.48721657,761456.683859753,0.276862785288609
"1","1988 Fall","Stratum_1"," [counts*km2/km2]",2830304.17575072,797707.289879282,0.281845074007883
"1","1989 Spring","Stratum_1"," [counts*km2/km2]",1820191.90542008,443290.551080081,0.243540557322595
"1","1989 Fall","Stratum_1"," [counts*km2/km2]",2155123.0859797,812990.796620152,0.377236363857414
"1","1990 Spring","Stratum_1"," [counts*km2/km2]",1463983.98911756,415274.57940498,0.283660601817983
"1","1990 Fall","Stratum_1"," [counts*km2/km2]",1244462.30488835,511443.894975656,0.410975802936466
"1","1991 Spring","Stratum_1"," [counts*km2/km2]",1577408.4116831,440583.062407307,0.279308173548538
